     LATITUDE  LONGITUDE    X_KM    Y_KM  VALUES
     57.1260   340.5600   -1200   -3400    7.38
     57.7026   343.6105   -1000   -3400    7.22
     58.1813   346.7595    -800   -3400    4.95
     58.5581   349.9920    -600   -3400    4.60
     58.8298   353.2902    -400   -3400    4.27
     59.0487     0.0000       0   -3400    4.77
     58.9938     3.3665     200   -3400    4.66
     58.5581    10.0080     600   -3400    4.46
     58.1813   336.3706   -1400   -3200    7.61
     58.8844   339.4440   -1200   -3200    7.43
     59.4906   342.6460   -1000   -3200    7.25
     59.9949   345.9638    -800   -3200    5.05
     60.3924   349.3803    -600   -3200    4.66
     60.6794   352.8750    -400   -3200    4.30
     60.8528   356.4237    -200   -3200    3.98
     60.9108     0.0000       0   -3200    4.79
     60.8528     3.5763     200   -3200    4.67
     59.0487   331.9275   -1600   -3000    7.55
     59.8821   334.9831   -1400   -3000    7.70
     60.6218   338.1986   -1200   -3000    7.49
     61.2612   341.5651   -1000   -3000    7.28
     61.7941   345.0686    -800   -3000    7.09
     62.2151   348.6901    -600   -3000    4.74
     62.5194   352.4054    -400   -3000    4.34
     62.7035   356.1859    -200   -3000    3.99
     62.7652     0.0000       0   -3000    4.81
     62.7035     3.8141     200   -3000    4.69
     59.7138   327.2648   -1800   -2800    7.59
     60.6794   330.2551   -1600   -2800    7.39
     61.5561   333.4349   -1400   -2800    7.46
     62.3365   336.8014   -1200   -2800    7.58
     63.0130   340.3462   -1000   -2800    7.34
     63.5783   344.0546    -800   -2800    7.11
     64.0260   347.9052    -600   -2800    4.84
     64.3502   351.8699    -400   -2800    4.39
     64.5465   355.9144    -200   -2800    4.00
     64.6123     0.0000       0   -2800    4.85
     64.5465     4.0856     200   -2800    4.72
     64.3502     8.1301     400   -2800    4.59
     60.1647   322.4314   -2000   -2600    7.96
     61.2612   325.3048   -1800   -2600    7.78
     62.2757   328.3925   -1600   -2600    7.57
     63.2002   331.6992   -1400   -2600    7.33
     64.0260   335.2249   -1200   -2600    7.34
     65.8246   347.0054    -600   -2600    4.96
     66.1716   351.2538    -400   -2600    4.45
     66.3821   355.6013    -200   -2600    4.02
     66.4527     0.0000       0   -2600    4.89
     66.3821     4.3987     200   -2600    4.75
     66.1716     8.7462     400   -2600    4.36
     60.3924   317.4896   -2200   -2400    8.31
     61.6154   320.1944   -2000   -2400    8.17
     62.7652   323.1301   -1800   -2400    8.00
     63.8333   326.3099   -1600   -2400    7.80
     64.8105   329.7436   -1400   -2400    7.55
     65.6871   333.4349   -1200   -2400    7.24
     67.0970   341.5651    -800   -2400    7.19
     67.6102   345.9638    -600   -2400    6.87
     67.9838   350.5377    -400   -2400    4.53
     68.2108   355.2364    -200   -2400    4.04
     68.2870     0.0000       0   -2400    4.95
     68.2108     4.7636     200   -2400    4.80
     67.9838     9.4623     400   -2400    4.42
     67.6102    14.0362     600   -2400    6.13
     64.2200   320.7106   -1800   -2200    8.26
     65.3465   323.9726   -1600   -2200    8.07
     66.3821   327.5288   -1400   -2200    7.82
     67.3156   331.3895   -1200   -2200    7.51
     68.1349   335.5560   -1000   -2200    7.42
     68.8275   340.0169    -800   -2200    7.27
     69.3816   344.7449    -600   -2200    6.87
     69.7863   349.6952    -400   -2200    4.62
     70.0328   354.8056    -200   -2200    4.08
     70.1156     0.0000       0   -2200    5.04
     70.0328     5.1944     200   -2200    4.88
     69.7863    10.3048     400   -2200    6.31
     69.3816    15.2551     600   -2200    6.78
     71.1369   343.3008    -600   -2000    6.88
     71.5785   348.6901    -400   -2000    6.43
     71.8484   354.2894    -200   -2000    4.15
     71.9392     0.0000       0   -2000    5.19
     71.8484     5.7106     200   -2000    4.80
     71.5785    11.3099     400   -2000    6.14
     71.1369    16.6992     600   -2000    6.54
